markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,15",4,ZN1,ROLO 70 x 10 (normal) dentro cuiaba,0,15,80,0,0
"2,15",4,ZN2,ROLO 53 x 10 (normal) dentro cuiaba,0,15,60,0,0
"2,15",4,ZN3,PAPEL METRO (normal) dentro cuiaba,0,15,25,0,0
"2,15",4,ZN4,PLACAS M2 (normal) dentro cuiaba,0,15,60,0,0
"2,15",4,ZN5,CARPETE M2 (normal) dentro cuiaba,0,15,20,0,0
"2,15",4,ZN6,ROLO 70 x 10 (lavabo) dentro cuiaba,0,15,96,0,0
"2,15",4,ZN7,ROLO 53 x 10 (lavabo) dentro cuiaba,0,15,72,0,0
"2,15",4,ZN8,PAPEL METRO (lavabo) dentro cuiaba,0,15,30,0,0
"2,15",4,ZN9,PLACAS M2 (lavabo) dentro cuiaba,0,15,72,0,0
"2,15",4,ZN10,ROLO 70 x 10 (+ 4m) dentro cuiaba,0,15,96,0,0
"2,15",4,ZN11,ROLO 53 x 10 (+ 4m) dentro cuiaba,0,15,72,0,0
"2,15",4,ZN12,PAPEL METRO (+ 4m) dentro cuiaba,0,15,30,0,0
"2,15",4,ZN13,PLACAS M2 (+ 4m) dentro cuiaba,0,15,72,0,0
"2,15",4,ZN14,ROLO 70 x 10 (normal) fora cuiaba,0,15,160,0,0
"2,15",4,ZN15,ROLO 53 x 10 (normal) fora cuiaba,0,15,120,0,0
"2,15",4,ZN16,PAPEL METRO (normal) fora cuiaba,0,15,50,0,0
"2,15",4,ZN17,PLACAS M2 (normal) fora cuiaba,0,15,120,0,0
"2,15",4,ZN18,CARPETE M2 (normal) fora cuiaba,0,15,40,0,0
"2,15",4,ZN19,ROLO 70 x 10 (lavabo) fora cuiaba,0,15,192,0,0
"2,15",4,ZN20,ROLO 53 x 10 (lavabo) fora cuiaba,0,15,144,0,0
"2,15",4,ZN21,PAPEL METRO (lavabo) fora cuiaba,0,15,60,0,0
"2,15",4,ZN22,PLACAS M2 (lavabo) fora cuiaba,0,15,144,0,0
"2,15",4,ZN23,ROLO 70 x 10 (+ 4m) fora cuiaba,0,15,192,0,0
"2,15",4,ZN24,ROLO 53 x 10 (+ 4m) fora cuiaba,0,15,144,0,0
"2,15",4,ZN25,PAPEL METRO (+ 4m) fora cuiaba,0,15,60,0,0
"2,15",4,ZN26,PLACAS M2 (+ 4m) fora cuiaba,0,15,144,0,0
