markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
0,4,ZN1,ROLO 70 x 10,0,15,80,0,0
0,4,ZN2,ROLO 53 x 10,0,15,60,0,0
0,4,ZN3,PAPEL METRO,0,15,25,0,0
0,4,ZN4,PLACAS M2,0,15,60,0,0
0,4,ZN5,CARPETE M2,0,15,20,0,0
0,4,ZN6,ROLO 70 x 10,0,15,96,0,0
0,4,ZN7,ROLO 53 x 10,0,15,72,0,0
0,4,ZN8,PAPEL METRO,0,15,30,0,0
0,4,ZN9,PLACAS M2,0,15,72,0,0
0,4,ZN10,ROLO 70 x 10,0,15,96,0,0
0,4,ZN11,ROLO 53 x 10,0,15,72,0,0
0,4,ZN12,PAPEL METRO,0,15,30,0,0
0,4,ZN13,PLACAS M2,0,15,72,0,0
